sn & class & ra & dec & z_sn & z_host & distance & distance_err & ebv & mass & mass_plus_er & mass_minus_er & sfr & sfr_plus_er & sfr_minus_er & ssfr & ssfr_plus_er & ssfr_minus_er
16bm                 & II      & 11:51:56.24 & -13:25:03.07 & 0.007    & 0.0068   & 29.3   & 2.3   & 0.038 & 8.07  & 0.19 & 0.24 & 0.320  & 0.113 & 0.114 & -8.58  & 0.37 & 0.40 
16cr                 & II      & 11:42:34.65 & -25:54:45.22 & 0.014    & --       & 60.6   & 21.8  & 0.042 & 8.12  & 0.07 & 0.11 & 0.049  & 0.054 & 0.036 & -9.52  & 0.45 & 0.40 
16dm                 & IIP     & 11:37:20.64 & -04:54:36.84 & 0.018    & 0.0183   & 86.7   & 6.1   & 0.046 & 9.42  & 0.08 & 0.02 & 0.462  & 0.039 & 0.092 & -9.70  & 0.01 & 0.26 
16eh                 & II      & 15:40:29.23 & +00:54:36.38 & 0.012    & 0.0117   & 58.6   & 4.1   & 0.263 & 8.45  & 0.01 & 0.26 & 0.234  & 0.010 & 0.063 & -9.04  & 0.04 & 0.03 
16ek                 & IIb     & 07:20:24.16 & +32:51:02.58 & 0.014    & --       & 60.6   & 21.8  & 0.052 & 8.95  & 0.03 & 0.01 & 0.959  & 0.013 & 0.139 & -9.01  & 0.01 & 0.05 
16el                 & II      & 08:56:39.08 & +52:06:10.01 & 0.014    & 0.0135   & 61.9   & 4.4   & 0.017 & 10.13 & 0.03 & 0.02 & 2.748  & 0.032 & 0.038 & -9.70  & 0.01 & 0.01 
16eu                 & IIP     & 08:44:11.05 & +34:42:55.80 & 0.014    & 0.0141   & 64.4   & 4.5   & 0.028 & 10.20 & 0.01 & 0.01 & 5.012  & 0.001 & 0.080 & -9.50  & 0.01 & 0.01 
#
16fp                 & Ib/c-BL & 21:59:04.14 & +18:11:10.50 & 0.004    & 0.0037   & 18.8   & 1.3   & 0.075 & 8.73  & 0.01 & 0.03 & 0.216  & 0.004 & 0.002 & -9.37  & 0.05 & 0.04 
16fq                 & IIP     & 11:20:19.09 & +12:58:57.20 & 0.002    & 0.00243  & 11.5   & 0.8   & 0.030 & 10.56 & 0.05 & 0.04 & 4.887  & 0.325 & 0.969 & -9.87  & 0.08 & 0.07 
16ft                 & II      & 23:56:13.74 & -00:32:28.44 & 0.022    & 0.0222   & 93.6   & 6.6   & 0.028 & 9.79  & 0.01 & 0.02 & 0.294  & 0.016 & 0.029 & -10.30 & 0.01 & 0.01 
16gn                 & IIn     & 12:06:57.59 & +27:18:04.93 & 0.056    & 0.0560   & 246.4  & 17.3  & 0.018 & 10.13 & 0.03 & 0.05 & 1.236  & 0.845 & 0.421 & -9.99  & 0.16 & 0.22 
16go                 & II      & 13:02:44.26 & -26:56:26.81 & 0.016    & 0.0161   & 80.1   & 5.6   & 0.070 & 9.78  & 0.01 & 0.01 & 0.561  & 0.004 & 0.046 & -10.00 & 0.01 & 0.03 
16gy                 & II      & 02:21:22.77 & +16:33:54.56 & 0.014    & 0.0137   & 56.7   & 4.0   & 0.129 & 10.11 & 0.12 & 0.01 & 1.140  & 0.614 & 0.005 & -10.00 & 0.05 & 0.01
16hy                 & II      & 15:26:29.52 & +41:44:03.32 & 0.008    & 0.0078   & 41.5   & 2.9   & 0.022 & 8.65  & 0.05 & 0.01 & 0.127  & 0.066 & 0.017 & -9.60  & 0.18 & 0.01 
16in                 & IIn     & 04:59:30.07 & -28:51:39.43 & 0.016    & 0.0161   & 68.5   & 4.8   & 0.012 & 9.27  & 0.04 & 0.12 & 0.508  & 0.717 & 0.097 & -9.60  & 0.51 & 0.05 
16ll                 & II      & 19:00:32.43 & +54:34:09.70 & 0.028    & 0.026    & 113.6  & 9.1   & 0.054 & 9.27  & 0.13 & 0.04 & 1.102  & 0.175 & 0.654 & -9.17  & 0.04 & 0.62 
16mz                 & II      & 12:04:16.91 & +21:48:03.30 & 0.021    & 0.0215   & 99.8   & 7.0   & 0.020 & 9.02  & 0.04 & 0.01 & 0.011  & 0.025 & 0.010 & -10.95 & 0.63 & 1.23 
16ns                 & II      & 10:04:18.59 & +43:25:29.13 & 0.038    & --       & 167.6  & 22.8  & 0.011 & 8.48  & 0.12 & 0.15 & 0.200  & 0.067 & 0.166 & -9.19  & 0.23 & 0.79 
17ai                 & Ib      & 12:07:18.83 & +16:50:26.02 & 0.023    & 0.0231   & 107.0  & 7.5   & 0.041 & 9.46  & 0.02 & 0.13 & 2.624  & 0.136 & 0.857 & -9.01  & 0.01 & 0.09 
17br                 & IIP     & 15:52:00.31 & +66:18:55.27 & 0.026    & --       & 113.6  & 22.2  & 0.024 & 8.76  & 0.05 & 0.03 & 0.002  & 0.008 & 0.001 & -11.96 & 0.96 & 0.73 
17bw                 & II      & 16:58:37.69 & +50:29:26.50 & 0.01     & 0.01020  & 44.0   & 3.1   & 0.019 & 8.62  & 0.18 & 0.02 & 0.445  & 0.057 & 0.029 & -8.99  & 0.06 & 0.01 
17cl                 & II      & 05:02:19.58 & -10:21:22.78 & 0.013    & 0.0133   & 56.2   & 3.9   & 0.078 & 10.49 & 0.01 & 0.29 & 0.593  & 0.017 & 0.084 & -10.70 & 0.01 & 0.01
17ds                 & II      & 08:03:55.21 & +26:31:12.73 & 0.022    & 0.0217   & 95.2   & 6.7   & 0.038 & 10.03 & 0.04 & 0.02 & 0.565  & 0.063 & 0.049 & -10.28 & 0.08 & 0.03
17dv                 & Ib/c    & 09:52:31.22 & -21:57:54.59 & 0.029    & --       & 127.0  & 22.3  & 0.037 & 8.60  & 0.04 & 0.02 & 0.045  & 0.053 & 0.043 & -9.92  & 0.21 & 1.42 
17fy                 & IIn     & 09:03:32.47 & -21:20:02.73 & 0.018    & 0.0182   & 82.7   & 5.8   & 0.140 & 9.59  & 0.22 & 0.00 & 0.766  & 0.258 & 0.313 & -9.80  & 0.05 & 0.11 
17gi                 & Ibn     & 14:14:48.94 & -29:33:37.01 & 0.020    & --       & 87.0   & 22.0  & 0.057 & 8.73  & 0.06 & 0.13 & 0.107  & 0.044 & 0.028 & -9.76  & 0.24 & 0.15 
17he                 & II      & 09:45:48.36 & -14:22:05.60 & 0.008    & 0.0081   & 37.4   & 2.6   & 0.053 & 9.50  & 0.05 & 0.05 & 7.096  & 0.811 & 0.727 & -8.65  & 0.05 & 0.04 
17ia                 & IIP     & 13:10:59.29 & +78:24:37.16 & 0.023    & 0.0234   & 100.3  & 7.1   & 0.033 & 10.41 & 0.01 & 0.01 & 2.075  & 0.058 & 0.052 & -10.10 & 0.01 & 0.01
17is                 & II      & 02:11:06.94 & +03:50:36.63 & 0.011    & 0.0105   & 44.9   & 3.1   & 0.036 & 9.46  & 0.02 & 0.13 & 2.965  & 0.283 & 1.166 & -9.03  & 0.03 & 0.07 
17jp                 & II      & 02:54:02.09 & +02:58:07.71 & 0.010    & 0.0102   & 41.9   & 2.9   & 0.095 & 10.40 & 0.01 & 0.16 & 1.135  & 0.221 & 0.258 & -10.30 & 0.11 & 0.01
17nb                 & II      & 07:27:37.32 & +35:36:30.64 & 0.016    & --       & 69.4   & 21.9  & 0.048 & 8.81  & 0.05 & 0.06 & 0.659  & 0.033 & 0.587 & -9.00  & 0.06 & 0.92 
17oj                 & II      & 21:44:22.95 & -29:54:59.30 & 0.016    & 0.01874  & 82.6   & 22.0  & 0.040 & 9.19  & 0.10 & 0.12 & 2.228  & 0.834 & 0.953 & -8.83  & 0.23 & 0.36 
17om                 & II      & 03:34:11.10 & -13:56:09.37 & 0.08     & --       & 363.9  & 24.0  & 0.042 & 9.97  & 0.04 & 0.12 & 6.546  & 0.420 & 1.906 & -9.27  & 0.10 & 0.04 
17os                 & II      & 04:33:05.88 & -26:07:41.34 & 0.032    & 0.0323   & 138.4  & 9.8   & 0.035 & 8.74  & 0.03 & 0.10 & 0.778  & 0.063 & 0.668 & -8.86  & 0.07 & 0.79 
17qp                 & II      & 20:28:49.80 & -04:22:57.29 & 0.01     & --       & 43.3   & 21.7  & 0.050 & 7.02  & 0.01 & 0.01 & 0.005  & 0.001 & 0.001 & -8.60  & 0.30 & 0.18 
17qt                 & II      & 02:27:36.59 & -20:42:56.18 & 0.036    & --       & 158.6  & 22.5  & 0.023 & 9.68  & 0.04 & 0.03 & 1.854  & 0.193 & 0.354 & -9.40  & 0.02 & 0.05 
17rl                 & Ib/c    & 07:15:00.04 & +46:22:43.79 & 0.045    & --       & 199.5  & 22.8  & 0.073 & 9.57  & 0.02 & 0.02 & 1.343  & 0.140 & 0.587 & -9.42  & 0.03 & 0.28 
#
SN2014ce             & II      & 23:27:40.86 & +23:35:21.4  & 0.011000 & 0.011000 & 49.00  & 3.43  & 0.039 & 9.43  & 0.04 & 0.01 & 5.598  & 0.832 & 0.051 & -8.70  & 0.01 & 0.01 
SN2014cw             & II      & 22:15:26.55 & -10:28:34.6  & 0.006000 & --       & 25.82  & 21.70 & 0.051 & 7.72  & 0.09 & 0.07 & 0.038  & 0.015 & 0.010 & -9.17  & 0.16 & 0.18 
SN2014cy             & IIP     & 23:44:16.03 & +10:46:12.5  & 0.005547 & 0.005547 & 24.65  & 1.73  & 0.049 & 10.18 & 0.06 & 0.17 & 1.227  & 0.097 & 0.161 & -10.08 & 0.14 & 0.07 
SN2014eb             & II      & 09:52:55.58 & +42:50:51.1  & 0.016000 & 0.016000 & 73.37  & 5.14  & 0.011 & 10.46 & 0.05 & 0.09 & 1.589  & 0.393 & 0.195 & -10.27 & 0.17 & 0.08 
SN2014eh             & Ic      & 20:25:03.86 & -24:49:13.3  & 0.010614 & 0.010614 & 49.45  & 3.46  & 0.056 & 10.61 & 0.08 & 0.04 & 13.270 & 1.048 & 4.019 & -9.45 & 0.06 & 0.36 
SN2015da             & IIn     & 13:52:24.11 & +39:41:28.6  & 0.00722  & 0.00722  & 39.11  & 2.75  & 0.013 & 9.97  & 0.01 & 0.01 & 0.116  & 0.002 & 0.002 & -10.90 & 0.01 & 0.01 
SN2015U              & Ibn     & 07:28:53.87 & +33:49:10.6  & 0.01379  & 0.01379  & 61.36  & 4.30  & 0.051 & 10.78 & 0.02 & 0.04 & 0.169  & 0.075 & 0.074 & -11.56 & 0.19 & 0.33 
LSQ15xp              & IIP     & 11:32:42.79 & -16:44:01.2  & 0.01226  & 0.01226  & 57.34  & 4.07  & 0.034 & 8.79  & 0.01 & 0.05 & 1.560  & 0.073 & 0.134 & -8.60  & 0.04 & 0.03 
PS15si               & IIn     & 11:10:22.93 & -04:21:31.5  & 0.05390  & 0.05390  & 237.74 & 16.67 & 0.046 & 8.92  & 0.05 & 0.06 & 0.522  & 0.113 & 0.257 & -9.20  & 0.05 & 0.26 
SN2015V              & IIP     & 17:49:27.05 & +36:08:36.0  & 0.00457  & 0.00457  & 26.64  & 1.87  & 0.034 & 8.53  & 0.07 & 0.03 & 0.314  & 0.005 & 0.005 & -9.09  & 0.05 & 0.01 
SN2015Y              & IIb     & 09:02:37.87 & +25:56:04.2  & 0.00817  & 0.00817  & 39.50  & 2.77  & 0.034 & 10.37 & 0.01 & 0.02 & 0.288  & 0.003 & 0.009 & -10.90 & 0.01 & 0.01 
PSNJ14372160+3634018 & II      & 14:37:21.60 & +36:34:01.8  & 0.01409  & 0.01409  & 68.72  & 4.81  & 0.015 & 10.57 & 0.02 & 0.01 & 1.406  & 0.003 & 0.171 & -10.50 & 0.01 & 0.03 
SN2015Q              & Ib      & 11:47:35.08 & +55:58:14.7  & 0.00803  & 0.00803  & 40.99  & 2.87  & 0.010 & 10.03 & 0.04 & 0.03 & 2.254  & 0.526 & 0.061 & -9.69  & 0.09 & 0.02 
PSNJ17292918+7542390 & II      & 17:29:29.18 & +75:42:39.0  & 0.00438  & 0.00438  & 24.68  & 1.73  & 0.036 & 9.40  & 0.03 & 0.01 & 1.567  & 0.135 & 0.128 & -9.18  & 0.05 & 0.03 
PSNJ22460504-1059484 & Ib      & 22:46:05.04 & -10:59:48.4  & 0.00895  & 0.00895  & 39.55  & 2.77  & 0.054 & 10.33 & 0.03 & 0.25 & 1.758  & 0.318 & 0.323 & -10.07 & 0.17 & 0.02 
SN2015ah             & Ib      & 23:00:24.63 & +01:37:36.8  & 0.01613  & 0.01613  & 69.18  & 4.91  & 0.071 & 9.95  & 0.02 & 0.10 & 1.507  & 0.597 & 0.081 & -9.81  & 0.29 & 0.04 
PSNJ22411479-2147421 & Ib      & 22:41:14.79 & -21:47:42.1  & 0.01495  & 0.01495  & 65.10  & 4.56  & 0.026 & 9.38  & 0.01 & 0.01 & 0.875  & 0.016 & 0.550 & -9.41  & 0.01 & 0.48 
SN2015ap             & Ib      & 02:05:13.32 & +06:06:08.4  & 0.01138  & 0.01138  & 47.02  & 3.29  & 0.038 & 9.46  & 0.01 & 0.04 & 3.837  & 0.190 & 0.173 & -8.87  & 0.05 & 0.02 
SN2015aq             & II      & 09:25:44.53 & +34:16:36.1  & 0.00550  & 0.00550  & 28.74  & 2.01  & 0.015 & 9.05  & 0.01 & 0.01 & 0.050  & 0.001 & 0.001 & -10.30 & 0.01 & 0.01 
SN2015ay             & II      & 01:09:46.77 & +13:18:28.9  & 0.01407  & 0.01407  & 58.61  & 4.10  & 0.024 & 9.43  & 0.11 & 0.04 & 0.708  & 0.021 & 0.189 & -9.58  & 0.05 & 0.26 
SN2015as             & II      & 10:08:11.37 & +51:50:40.9  & 0.00365  & 0.00365  & 21.30  & 1.49  & 0.009 & 8.53  & 0.11 & 0.09 & 0.479  & 0.023 & 0.100 & -8.81  & 0.10 & 0.17 
SN2015ba             & II      & 14:32:29.19 & +49:53:34.5  & 0.00795  & 0.00795  & 41.79  & 2.93  & 0.016 & 10.40 & 0.01 & 0.01 & 0.178  & 0.002 & 0.002 & -11.10 & 0.01 & 0.01 
SN2015bf             & IIn     & 23:24:49.03 & +15:16:52.0  & 0.01423  & 0.01423  & 60.76  & 4.26  & 0.059 & 10.25 & 0.27 & 0.01 & 0.899  & 0.320 & 0.018 & -10.31 & 0.03 & 0.16  
SN2016C              & IIP     & 13:38:05.30 & -17:51:15.3  & 0.00452  & 0.00452  & 20.32  & 1.42  & 0.079 & 10.23 & 0.07 & 0.09 & 2.655  & 1.272 & 0.836 & -9.85  & 0.32 & 0.19 
SN2016P              & Ic-BL   & 13:57:31.10 & +06:05:51.0  & 0.01462  & 0.01462  & 71.73  & 5.02  & 0.024 & 10.23 & 0.01 & 0.02 & 4.519  & 0.116 & 0.113 & -9.60  & 0.01 & 0.01 
SN2016afa            & II      & 15:36:32.47 & +16:36:36.7  & 0.00653  & 0.00653  & 35.70  & 2.50  & 0.048 & 10.10 & 0.05 & 0.03 & 2.239  & 0.440 & 0.031 & -9.80  & 0.10 & 0.01 
SN2016bam            & II      & 07:46:52.72 & +39:01:21.8  & 0.01350  & 0.01335  & 59.93  & 4.20  & 0.045 & 10.19 & 0.07 & 0.02 & 7.998  & 0.552 & 1.544 & -9.28  & 0.04 & 0.16 
SN2016bau            & Ib      & 11:20:59.02 & +53:10:25.6  & 0.00386  & 0.00386  & 23.16  & 1.62  & 0.015 & 9.52  & 0.05 & 0.02 & 2.559  & 0.228 & 0.933 & -9.08  & 0.04 & 0.27 
SN2016bdu            & IIn     & 13:10:13.95 & +32:31:14.1  & 0.01700  & 0.01700  & 73.79  & 22.07 & 0.013 & 7.04  & 0.09 & 0.01 & 0.004  & 0.001 & 0.002 & -8.89  & 0.25 & 0.66 
SN2016bir            & IIb     & 13:14:05.90 & +33:55:09.7  & 0.03535  & 0.03535  & 155.61 & 22.68 & 0.010 & 9.03  & 0.12 & 0.07 & 1.766  & 0.062 & 0.425 & -8.77  & 0.07 & 0.25 
SN2016bkv            & IIb     & 10:18:19.31 & +41:25:39.3  & 0.00198  & 0.00198  & 10.55  & 0.74  & 0.015 & 8.97  & 0.01 & 0.01 & 0.140  & 0.003 & 0.010 & -9.90  & 0.01 & 0.06 
SN2016ccm            & IIP     & 14:09:58.91 & +17:45:49.4  & 0.01816  & 0.01816  & 87.04  & 6.09  & 0.022 & 11.17 & 0.01 & 0.02 & 0.641  & 0.161 & 0.016 & -11.39 & 0.16 & 0.01 
SN2016gfy            & II      & 07:26:45.93 & +85:45:51.2  & 0.00806  & 0.00806  & 38.73  & 2.71  & 0.088 & 10.06 & 0.02 & 0.04 & 7.096  & 0.921 & 1.552 & -9.17  & 0.05 & 0.16 
SN2016gkg            & IIb     & 01:34:14.46 & -29:26:25.0  & 0.00490  & 0.00490  & 20.53  & 1.44  & 0.017 & 10.75 & 0.06 & 0.04 & 3.508  & 1.224 & 2.501 & -10.10 & 0.08 & 0.76 
