Title: The Palomar Transient Factory Core-Collapse Supernova Host-Galaxy 
       Sample.I. Host-Galaxy Distribution Functions and Environment 
       Dependence of CCSNe 
Authors: Schulze S., Yaron O., Sollerman J., Leloudas G., Gal A., Wright A.H., 
         Lunnan R., Gal-Yam A., Ofek E.O., Perley D.A., Filippenko A.V.,
         Kasliwal M.M., Kulkarni S.R., Neill J.D., Nugent P.E., Quimby R.M.,
         Sullivan M., Strothjohann N.L., Arcavi I., Ben-Ami S., Bianco F., 
         Bloom J.S., De K., Fraser M., Fremling C.U., Horesh A., Johansson J.,
         Kelly P.L., Knevzevic N., Knevzevic S., Maguire K., Nyholm A., 
         Papadogiannakis S., Petrushevska T., Rubin A., Yan L., Yang Y.,
         Adams S.M., Bufano F., Clubb K.I., Foley R.J., Green Y., Harmanen J.,
         Ho A.Y.Q., Hook I.M., Hosseinzadeh G., Howell D.A., Kong A.K.H., 
         Kotak R., Matheson T., McCully C., Milisavljevic D., Pan Y.-C., 
         Poznanski D., Shivvers I., Velzen S.v., Verbeek K.K. 
Table: Photometry of the PTF CCSN host galaxies
================================================================================
Byte-by-byte Description of file: apjsabff5et9_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID       Object identifier
  11- 19 A9     ---     Tel/Sur  Telescope/Survey designation
  21- 29 A9     ---     Inst     Instrument 
  31- 35 A5     ---     Filter   Filter
  37- 41 F5.2   mag     mag      Observed AB magnitude in Filter (1)
  43- 48 F6.2   mag   e_mag      ?=-99 Uncertainty in mag
  50- 76 A27    ---     Ref      Reference; This paper or ADS bibcode
--------------------------------------------------------------------------------
Note (1): Not corrected for reddening.
--------------------------------------------------------------------------------
PTF09dra  2MASS               Ks    15.68   0.12 This paper                  
PTF09dra  WISE                W1    16.04   0.1  This paper                  
PTF09dra  WISE                W2    16.55   0.1  This paper                  
PTF09drs  SDSS                u     16.94   0.05 This paper                  
PTF09drs  SDSS                g     15.97   0.05 This paper                  
PTF09drs  SDSS                r     15.66   0.05 This paper                  
PTF09drs  SDSS                i     15.43   0.05 This paper                  
PTF09drs  SDSS                z     15.29   0.06 This paper                  
PTF09drs  PANSTARRS           g     15.96   0.05 This paper                  
PTF09drs  PANSTARRS           r     15.67   0.05 This paper                  
PTF09drs  PANSTARRS           i     15.44   0.05 This paper                  
PTF09drs  PANSTARRS           z     15.37   0.05 This paper                  
PTF09drs  PANSTARRS           y     15.23   0.06 This paper                  
PTF09drs  2MASS               J     15.22   0.07 This paper                  
PTF09drs  2MASS               H     14.97   0.07 This paper                  
PTF09drs  2MASS               Ks    15.12   0.11 This paper                  
PTF09dsj  SDSS                u     21.51 -99.0  This paper                  
PTF09dsj  SDSS                g     22.62 -99.0  This paper                  
PTF09dsj  SDSS                r     22.09 -99.0  This paper                  
PTF09dsj  SDSS                i     21.81 -99.0  This paper                  
PTF09dsj  SDSS                z     24.03   0.81 This paper                  
PTF09dsj  PANSTARRS           g     22.66 -99.0  This paper                  
PTF09dsj  PANSTARRS           r     22.58 -99.0  This paper                  
PTF09dsj  PANSTARRS           i     23.45   0.69 This paper                  
PTF09dsj  PANSTARRS           y     20.85 -99.0  This paper                  
PTF09due  SDSS                u     15.26   0.06 This paper                  
PTF09due  SDSS                g     14.23   0.06 This paper                  
PTF09due  SDSS                r     13.78   0.06 This paper                  
PTF09due  SDSS                i     13.52   0.07 This paper                  
PTF09due  SDSS                z     13.31   0.07 This paper                  
