,bins_logM_,quant16_m,quant50_m,quant84_m,quant05_m,quant95_m,quant01_m,quant99_m,quant16_s,quant50_s,quant84_s,quant05_s,quant95_s,quant01_s,quant99_s
28,5.98989898989899,0.0,0.0,0.0,0.0,4.750689728870965e-05,0.0,7.906326605953039e-05,0.0,0.0,6.324555320336759e-05,0.0,0.00021510761327763375,0.0,0.00028777675390830385
29,6.0606060606060606,0.0,0.0,0.0,0.0,4.750689728870965e-05,0.0,7.906326605953039e-05,0.0,0.0,6.324555320336759e-05,0.0,0.00021510761327763375,0.0,0.00028777675390830385
30,6.0606060606060606,0.0,0.0,0.0,0.0,5.375872022286245e-05,0.0,8.854693676237508e-05,0.0,0.0,6.324555320336759e-05,0.0,0.00023724355689881246,0.0,0.0003099221843624639
31,6.1313131313131315,0.0,0.0,0.0,0.0,5.375872022286245e-05,0.0,8.854693676237508e-05,0.0,0.0,6.324555320336759e-05,0.0,0.00023724355689881246,0.0,0.0003099221843624639
32,6.1313131313131315,0.0,0.0,3.1622776601683795e-05,0.0,5.699373026921479e-05,0.0,8.855326131769599e-05,0.0,0.0,9.486832980505138e-05,0.0,0.00026570405584032777,0.0,0.0003573437001543478
33,6.202020202020202,0.0,0.0,3.1622776601683795e-05,0.0,5.699373026921479e-05,0.0,8.855326131769599e-05,0.0,0.0,9.486832980505138e-05,0.0,0.00026570405584032777,0.0,0.0003573437001543478
34,6.202020202020202,0.0,0.0,3.1622776601683795e-05,0.0,6.640783086353597e-05,0.0,9.172186353318528e-05,0.0,0.0,0.00012649110640673518,0.0,0.0002909295447354909,0.0,0.00039529419435402883
35,6.2727272727272725,0.0,0.0,3.1622776601683795e-05,0.0,6.640783086353597e-05,0.0,9.172186353318528e-05,0.0,0.0,0.00012649110640673518,0.0,0.0002909295447354909,0.0,0.00039529419435402883
36,6.2727272727272725,0.0,0.0,3.1622776601683795e-05,0.0,7.589466384404111e-05,0.0,0.00011068604266121419,0.0,0.0,0.00015811388300841897,0.0,0.0003193900436770063,0.0,0.00043641961532452
37,6.343434343434343,0.0,0.0,3.1622776601683795e-05,0.0,7.589466384404111e-05,0.0,0.00011068604266121419,0.0,0.0,0.00015811388300841897,0.0,0.0003193900436770063,0.0,0.00043641961532452
38,6.343434343434343,0.0,0.0,3.1622776601683795e-05,0.0,8.221921916437787e-05,0.0,0.00011700743570389051,0.0,0.0,0.00018973665961010276,0.0,0.0003510855526648741,0.0,0.0004901814978250429
39,6.414141414141414,0.0,0.0,3.1622776601683795e-05,0.0,8.221921916437787e-05,0.0,0.00011700743570389051,0.0,0.0,0.00018973665961010276,0.0,0.0003510855526648741,0.0,0.0004901814978250429
40,6.414141414141414,0.0,0.0,3.1622776601683795e-05,0.0,9.170605214488301e-05,0.0,0.00012649426868439567,0.0,0.0,0.00022135943621178657,0.0,0.0003858706069267263,0.0,0.0005471309562070178
41,6.484848484848484,0.0,0.0,3.1622776601683795e-05,0.0,9.170605214488301e-05,0.0,0.00012649426868439567,0.0,0.0,0.00022135943621178657,0.0,0.0003858706069267263,0.0,0.0005471309562070178
42,6.484848484848484,0.0,0.0,6.324555320336759e-05,0.0,9.803060746521978e-05,0.0,0.00013598110166490075,0.0,0.0,0.00025298221281347036,0.0,0.0004269074841227313,0.0,0.0006198601801132302
43,6.555555555555555,0.0,0.0,6.324555320336759e-05,0.0,9.803060746521978e-05,0.0,0.00013598110166490075,0.0,0.0,0.00025298221281347036,0.0,0.0004269074841227313,0.0,0.0006198601801132302
44,6.555555555555555,0.0,0.0,6.324555320336759e-05,0.0,0.00011067971810589329,0.0,0.00014862705002791383,0.0,0.0,0.0002846049894151541,0.0,0.0004680898260911041,0.0,0.0006578138365905717
45,6.626262626262626,0.0,0.0,6.324555320336759e-05,0.0,0.00011067971810589329,0.0,0.00014862705002791383,0.0,0.0,0.0002846049894151541,0.0,0.0004680898260911041,0.0,0.0006578138365905717
46,6.626262626262626,0.0,0.0,6.324555320336759e-05,0.0,0.00012016655108639843,0.0,0.00014863969913855567,0.0,0.0,0.00031622776601683794,0.0,0.0005123617133334615,0.0,0.0007463892338518907
47,6.696969696969697,0.0,0.0,6.324555320336759e-05,0.0,0.00012016655108639843,0.0,0.00014863969913855567,0.0,0.0,0.00031622776601683794,0.0,0.0005123617133334615,0.0,0.0007463892338518907
48,6.696969696969697,0.0,0.0,6.324555320336759e-05,0.0,0.00013597793938724032,0.0,0.00017077248048207383,0.0,0.0,0.0003478505426185217,0.0,0.0005597231458498032,0.0,0.0008222997090842341
